ID,Text,Label
1,"Maracanã prevê um mês de pausa por gramado e mira final da Copa do Brasil. O Maracanã só deve voltar a ser usado novamente na final da Copa do Brasil, após o período de interrupção de jogos no estádio, que começará no sábado (26), depois do Flamengo x Internacional. O que aconteceu: A administração calcula uma pausa de quase um mês para tentar recuperar o campo, mas sabe que a restauração plena é impossível. Os jogos da Copa do Brasil estão previstos para 17 e 24 de setembro. A CBF definirá por sorteio se o primeiro jogo entre Flamengo e São Paulo será no Maracanã ou no Morumbi. Dependendo do resultado, menos tempo para recuperação do gramado. O tempo de pausa no estádio será calibrado de forma mais precisa em avaliações após os dois próximos jogos. O primeiro é quinta-feira (Fluminense x Olimpia) e depois vem o jogo do Fla contra os gaúchos. Jogos afetados (Brasileirão): Fluminense x Fortaleza (3 de setembro). Flamengo x Athletico (13 de setembro). Jogo do Vasco teve lamaçal. A decisão de tirar jogos do Maracanã se concretizou após o Vasco enfrentar o Atlético-MG no estádio, graças a uma decisão judicial que contrariou o desejo de Fla e Flu. Para piorar o contexto, choveu forte no domingo de manhã, por ocasião do jogo. A administração do estádio calcula que 25mm de água caíram no campo só durante o segundo tempo. A lama se espalhou. O jogo do Vasco foi a 55ª partida no estádio em 2023 e alterou a programação de trabalho no gramado pensando no Flu x Olimpia desta semana, que começaria às 21h de sábado. O Maracanã será alvo de vistorias ao longo desta semana.",E
2,"Árbitro de Libertadores revela como times tentam “comprar” os juízes. Em entrevista à TV uruguaia, Andrés Cunha, árbitro da final da Libertadores de 2018, revelou como os times tentam “comprar” a arbitragem antes de jogos importantes. Em depoimento a ‘Esdrújula TV’, Andrés Cunha, ex-árbitro de campo e um dos principais nomes a frente do VAR no futebol sul-americano, fez fortes revelações sobre esquemas propostos pelos clubes. Principalmente antes de jogos decisivos, o profissional confirmou que algumas equipes tentam “comprar” a arbitragem e ainda revelou como isso acontece. Segundo o ex-árbitro, sua experiência é restrita pois apenas ouviu falar sobre casos dessa magnitude, mas confessa que já foi convidado para algo parecido, mas declinou. “Escutar [relatos], escutei sempre, porque é algo que se comenta. Nunca fiz isso [aceitar conversar], na verdade. Para não viver isso, você tem que tomar precauções: não atender telefones desconhecidos”, disse Cunha. Árbitro de Copa do Mundo em 2018, mesmo ano em que apitou a final da Libertadores, disputada entre River Plate e Boca Juniors, Andrés Cunha sempre foi um nome muito comentado entre os profissionais de arbitragem. Dessa forma, ele disse que tinha que tomar cuidado com alguns contatos, que, a princípio, pareciam normais, mas tinham outros interesses. “Dizem: 'Sou tal pessoa, gostaria de tomar um café com você para conversar'. Sim [aconteceu com Andrés Cunha], mas jamais aceitei. Boa parte [dos casos] se dá antes de partidas importantes. De repente, falam: 'Sou jornalista de outro país, quero tomar um café para falar com você'”, comentou o árbitro de vídeo. Após uma carreira sólida no meio da arbitragem, o uruguaio deixou de apitar nos gramados em 2022, pois completou 45 anos e não poderia mais ser um árbitro Fifa. Sendo assim, ele optou por continuar na área, mas operando na parte externa das partidas, na cabine do VAR. Na função, Cunha segue como um dos mais renomados do meio. ",E
3,"O'Malley mira alcançar nível de estrelato de McGregor no UFC: 'Ainda não estou lá'. No último sábado (19), ao nocautear Aljamain Sterling no UFC 292, em Boston (EUA), Sean O'Malley se tornou o campeão mais jovem do atual plantel do Ultimate, com 28 anos de idade. Com uma longa trajetória pela frente, o novo soberano entre os pesos-galos (61 kg) tem uma meta a longo prazo: alcançar o nível de estrelato atingido por Conor McGregor em seu auge na organização. Em entrevista à 'ESPN' americana, O'Malley relembrou que, desde quando despontou no 'Contender Series', tinha o objetivo de superar o principal astro do MMA em popularidade. Atualmente, 'Sugar' está mais próximo de sua meta, mas admite que ainda não se encontra com o mesmo nível de apelo e magnitude dentro da companhia que McGregor atingiu em seu ápice, quando se tornou duplo campeão simultâneo do Ultimate. 'Me lembro de estar sentado dando uma entrevista (depois do Contender) dizendo às pessoas que seria maior do que Conor McGregor. Recebi muito hate por isso. Muito ódio online e pessoas dizendo: 'Qual é, cara, isso não é realístico'. Mas na minha mente, era. Sabia que tinha que fazer as coisas que tenho feito, que é nocautear as pessoas, com boas performances, e eu chegaria lá. Ainda não estamos lá (nível McGregor), mas com mais um nocaute, e acho que me coloca lá no topo', analisou Sean. Plano para alcançar o nível de McGregor. Apesar de afirmar que ainda não chegou aonde quer em níveis de popularidade, O'Malley já possui alguns passos em mente para mudar de patamar dentro dos esportes de combate. Curiosamente, alguns desejos do americano - como subir de categoria e encarar uma estrela do boxe - coincidem com a trajetória de Conor McGregor no UFC. 'Acho que há algumas formas (de alcançar o status de McGregor). Defender o cinturão obviamente é uma forma. Aplicar um belo nocaute na minha primeira defesa de título faria isso. Subir de categoria, mas não estou tentando lutar com o Alexander Volkanovski. Ele deve lutar com o Ilia Topuria. Se o Ilia for lá e vencer o Volk, adoraria subir para 66 kg e encarar o Ilia. Gervonta Davis (no boxe), essa é uma luta que também me interessa', explicou o peso-galo. Recém-coroado campeão do peso-galo, O'Malley agora detém um cartel de 17 vitórias, uma derrota e um 'no contest' (sem resultado) como profissional de MMA. O único revés do americano foi para Marlon Vera, em 2020. 'Chito', inclusive, desponta como o favorito para a vaga de desafiante na eventual primeira defesa de título de 'Sugar', em uma revanche e espécie de 'tira-teima' na rivalidade entre os dois. A data e local para o possível embate, porém, ainda não foram definidas pela companhia.",E
4,"F1: Verstappen pode ser investigado após aparecer em carro da Aston Martin. Nas imagens, amigo do piloto holandês grava o bicampeão guiando um Aston Martin Valkyrie, ultrapassando o limite de velocidade de um túnel, com somente uma mão no volante. Na semana que marca seu retorno para a Fórmula 1 de 2023, o piloto holandês Max Verstappen chamou a atenção das redes sociais após aparecer em um vídeo dirigindo fora das pistas. De acordo com o jornal francês Nice-Matin, o corredor pode ser investigado por infrações de trânsito que foram captadas nas imagens. Max, na ocasião, aparece em um vídeo, compartilhado por Mark Cox, seu amigo, guiando um Aston Martin Valkyrie a 124 km/h, velocidade muito acima do limite de 90 km/h em túnel na estrada Nice Nord, na França. Além disso, o piloto tinha apenas uma das mãos no volante, enquanto mexia no painel do carro. Verstappen também usa fones de ouvido para cancelamento de ruído, que fazem parte do pacote do carro, para evitar danos ao tímpano do motorista. O periódico cita que a diretoria geral da Gendarmaria Nacional Francesa, força subordinada ao Ministério da Defesa, tem um serviço voltado para o rastreamento de vídeos de mesma natureza na internet. Sem um registro oficial da velocidade, seria impossível punir Verstappen pelo excesso, mas o holandês pode ser processado por submeter outros a risco de vida. Avaliado em mais ou menos R$ 15 milhões, o Aston Martin Valkyrie é uma colaboração entre a Aston Martin e a Red Bull Racing, concebido majoritariamente pelo projetista Adrian Newey. O supercarro é feito de fibra de carbono, possui um motor V12 e é definido pela montadora como “o mais próximo possível de um carro de Fórmula 1 sem estar restrito à pista”. O modelo é um dos mais exclusivos da coleção de Max Verstappen.",E
5,"Adversário do Inter na Libertadores, Bolívar tem números impressionantes jogando em casa nesta temporada. Adversário do Internacional nas quartas de final da Libertadores, o Bolívar tem números impressionantes nesta temporada quando atua joga em casa, no estádio Hernando Siles. De acordo com dados levantados pelo Sofascore, desde o começo do ano, o time boliviano disputou 19 jogos na altitude de La Paz, na Bolívia, e venceu 17 deles, com um empate e apenas uma derrota: para o Jorge Wilstermann, em abril, pelo placar de 3 a 1, pelo campeonato local. Isso resulta num aproveitamento superior a 91%. Nesse período, foram 56 gols marcados e somente 11 sofridos. De acordo com o levantamento, os bolivianos criaram 57 grandes chances de gol como mandante e cedeu apenas 20 para seus adversários. Ainda, tem uma média de quase 62% de posse de bola ao lado de sua torcida. Pela Libertadores nesta temporada, o Bolívar enfrentou o Palmeiras, na fase de grupos, e venceu em La Paz por 3 a 1. Já nas oitavas de final, quando pegou o Athletico, aplicou o mesmo placar quando jogou em casa. No entanto, no Brasil, os bolivianos têm sofrido: 4 a 0 para o Verdão no Allianz Parque e 2 a 0 para o Furacão (com vitória nos pênaltis) na Ligga Arena. Portanto, o Internacional deve ter cuidado com a equipe boliviana na capital do país. A partida, inclusive, acontece nesta terça-feira, às 19 horas (de Brasília), pela ida das quartas da competição continental. A volta está marcada para a próxima terça, no mesmo horário, no Beira-Rio. Quem avançar deste duelo pega o vencedor de Fluminense x Olimpia. Do outro lado da chave Palmeiras e Deportivo Pereira, da Colômbia, disputam vaga na semifinal e podem ter pelo caminho quem passar de Boca Juniors x Racing.",E
6,"Atlético-MG confirma estreia oficial da Arena MRV em jogo contra o Santos A Arena MRV, novo estádio do Atlético-MG, receberá sua primeira partida oficial às 18h30 (de Brasília) do próximo domingo (27), em duelo com o Santos, válido pela 21ª rodada do Campeonato Brasileiro. O local já havia recebido eventos-teste, como um amistoso entre lendas do clube mineiro, e a diretoria aguardava a resolução de ajustes e burocracias, agora concluídas. Ontem (21), foi sacramentado um acordo com o Ministério Público de Minas Gerais, após apresentação de laudos de segurança, para liberar a realização da partida. Embora a capacidade da arena seja de 46 mil pessoas, o jogo de estreia será aberto para um público de 30 mil torcedores, conforme anunciado pelo clube em comunicado divulgado hoje (22). Ainda não foram disponibilizadas informações sobre a venda de ingressos. 'Valeu a pena sonha e acreditar. O próximo domingo, 27 de agosto, será um dia histórico para o Galo e a Massa Atleticana. Está confirmada a estreia do Atlético na Arena MRV, estádio próprio do clube, na partida contra o Santos', celebrou o clube. A Arena MRV foi construída em três anos em um terreno de 128 mil metros quadrados doado pelo empresário Rubens Menin, um dos donos da SAF atleticana - os outros são Rafael Menin, Ricardo Guimarães e Renato Salvador. São 112 camarotes, 45 bares e lanchonetes, um restaurante, 42 banheiros, todos adaptados para pessoas com deficiência, e 2.300 vagas de estacionamento. Apesar da dívida de R$ 1,8 bilhão, a maior dos clubes brasileiros, o Atlético ergueu a arena com seus próprios recursos, sem que o futebol seja impactado. O clube vendeu por R$ 350 milhões 50,1% de um shopping que lhe pertencia em uma região nobre de Belo Horizonte, levantou R$ 60 milhões com a venda do nome do estádio para a construtora MRV Engenharia, empresa ligada à família Menin, e conseguiu o restante por meio da comercialização de cadeiras cativas e camarotes por 15 anos. Inicialmente, o estádio custaria R$ 410 milhões. No entanto, o valor subiu para R$ 650 milhões por causa da inflação, que elevou o preço dos insumos e, no fim, vai custar R$ 750 milhões. O Atlético coloca sua Arena como 'a mais tecnológica da América Latina'. O estádio dispõe de dois telões com 144m² cada, 600 painéis de led e o acesso será feito por reconhecimento facial. Além disso, promete uma conexão de internet melhor do que a dos demais estádios do país. Segundo o clube, a arena é, também, a mais sustentável do Brasil. No terreno ao lado existe uma reserva ecológica de mata atlântica preservada de 26 mil metros quadrados, com duas nascentes que foram recuperadas. O clube se comprometeu a plantar 46 mil árvores em parques da cidade, uma para cada assento do estádio, num período de dez anos.",E
7,"Arbitragem da CBF analisa gol de Lucas contra o Corinthians: ‘Sem infração’. O segundo gol do São Paulo contra o Corinthians, que deu a vitória no jogo de volta da semifinal da Copa do Brasil, gerou muitas polêmicas sobre um possível toque na mão de Lucas. Na opinião do presidente da Comissão de Arbitragem, Wilson Seneme, e do gerente técnico do VAR, Péricles Bassols, não houve toque na mão e o gol foi regular. ‘No VAR, fazemos o trabalho de parar as imagens e casar todas elas como um quebra-cabeça e definir se houve toque ou não. Nesse caso (lance do Lucas), não encontraram o toque. Portanto, não há infração e o gol foi mantido’, disse Bassols. Raphael Claus apitou o Majestoso da última quarta-feira, auxiliado por Bruno Boschilia e Rodrigo Figueiredo Henrique Correa. O VAR ficou a cargo de Igor Benevenuto de Oliveira. ‘A equipe VAR desde o início da checagem está ativada para a possibilidade de mão. E ela tem que buscar realmente, porque se há um toque de mão, temos um gol de imediatez com toque de mão anterior, independentemente de ser intencional’, acrescentou. ‘O VAR para em vários ângulos e velocidades em busca de possibilidades de contato, segue o jogo e não encontra nenhum contato. A depender da perspectiva que estejam olhando, por um lado parece que a mão está por trás e em outro parece estar por cima. São ângulos. Nunca podemos tratar uma imagem com um ângulo só’, concluiu o gerente técnico do VAR.",E
8,"Copa 2023 amplia debate sobre falta de técnicas mulheres no futebol. Mesmo que sempre em menor número, as mulheres podem ser maioria entre os treinadores campeões da Copa do Mundo. A Inglaterra de Sarina Wiegman tentou se tornar a quinta seleção comandada por uma mulher a levantar a taça em nove Mundiais, mas acabou caindo para a Espanha na decisão. Campeã da Eurocopa feminina em 2022, as inglesas fizeram boa campanha no Mundial da Oceania e o sucesso das Leoas também ajudou a escancarar outro problema: a falta de profissionais no futebol feminino. Maior presença, Sarina foi a última técnica a se manter viva de 12 mulheres que disputaram a Copa do Mundo da Austrália e Nova Zelândia entre 32 seleções. Precisamos de mais técnicas. Muito trabalho já foi feito e ainda é necessário fazer mais para ter mais mulheres envolvidas. Dar oportunidades. E a balança precisa ser melhor. Não que homens não sejam bem-vindos, porque eu acho que há muitos homens que fazem um bom trabalho e estão no jogo por muito tempo, mas precisamos de mais igualdade. Sarina, Este, porém, foi o melhor número da história de participação feminina no Mundial. Nas três últimas edições, foram seis em 2011, oito em 2015 e nove em 2019 — a primeira com 16 times e as duas outras com 24. Gunilla Paijkull, da Suécia, foi a única na primeira edição da Copa, em 1991. Naquela época 12 equipes disputaram o título. Das oito edições anteriores, quatro foram vencidas por mulheres. Jill Ellis ergueu a taça duas vezes pelos Estados Unidos (2015 e 2019) e Tina Theune e Silvia Neid, pela Alemanha (2003 e 2007, respectivamente). Nas Olimpíadas, por exemplo, os últimos três ouros foram de mulheres (Bev Priestman com o Canadá, Silvia Neid pela Alemanha e Pia Sundhage nos EUA). Na Copa América, a edição de 2022 dobrou o número, passando de duas para quatro. Além disso, teve uma mulher como campeã pela primeira vez, com Pia Sundhage no Brasil. Mais mulheres O assunto surgiu algumas vezes ao longo da Copa do Mundo, inclusive em entrevistas coletivas de Sarina Wiegman. Ela pediu mais mulheres não só como treinadoras, mas em cargos de liderança. Durante a Convenção de Futebol Feminino da Fifa, um dos painéis reuniu Jill Ellis, treinadora campeã com os Estados Unidos em 2015 e 2019, além de Emma Hayes, técnica do Chelsea, e Arsène Wenger, histórico comandante do Arsenal. O objetivo principal era falar sobre o papel dos treinadores nas equipes, como lidar com frustrações, uso de dados e outros. Além disso, o trio falou sobre a importância de se ter mais mulheres nos cargos e especialistas no futebol feminino para o desenvolvimento da modalidade. ‘Nas Olimpíadas e no Mundial, eu acho que as mulheres ganharam muito. Acho que as mulheres podem fazer um bom trabalho em alto nível. O que está vendo em termos de números é que temos de continuar criando oportunidades de investimento. Nós não podemos apoiar apenas uma pessoa porque é mulher. Temos de fazer com que haja apoio, seja educada para estar pronta. A Fifa tem um programa com Olimpíadas e Copas, onde deve ter uma mulher como treinadora ou assistente. É ruim termos que legislar isso, mas às vezes tem de ser feito’, disse Jill Ellis. Cargo em time masculino Precisamos desenvolver o conhecimento, porque como mulheres, não somos 'pequenos homens'. Qualquer um que começa a trabalhar no Chelsea, não deixo ter qualquer interação com as jogadoras por seis semanas. Até que estejam sem as ideias enviesadas de vir de um ambiente do futebol masculino Emma Hayes É comum que mulheres com sucesso em times femininos comecem a ser cogitadas em equipes masculinas. Isso também acontece com homens, como Arthur Elias no Brasil cotado para comandar o Corinthians de homens recentemente. Na Inglaterra, Phil Neville deixou o comando da seleção em 2021 para treinar o Inter Miami antes de Sarina exercer o cargo. Antes de assumir, Neville precisou se desculpar por comentários feitos anos antes em redes sociais com teor sexista.Agora é a vez de Sarina Wiegman, que estaria sendo cogitada no time masculino da Inglaterra após rumores de que os Estados Unidos poderiam tentar contratá-la. ’É hora de falar do futebol feminino. Não temos sempre de falar do masculino na mesma frase. A Sarina é treinadora da seleção inglesa, está fazendo um ótimo trabalho. É hora de falarmos sobre isso como prioridade e nada mais. Estou para dizer que é incrível no time inglês e o futebol feminino merece ter as melhores treinadoras’, afirmou Emma Hayes. A própria Emma já foi cotada para mudar ao futebol masculino pelo trabalho de sucesso à frente do Chelsea desde 2012. Em 2021, foi ligada ao AFC Wimbledon, que atualmente joga a quarta divisão do futebol inglês. ‘O futebol feminino é algo a comemorar, e a qualidade, a conquista de todas as mulheres que represento... É um insulto para elas que falemos do futebol feminino como um passo para trás. Com a dedicação e qualidade que tem. Toda a questão sobre [Wimbledon] não ser capaz de me pagar não tem nada a ver com dinheiro, mas tudo a ver com o fato de que estou no melhor emprego do mundo. Nenhuma quantia de dinheiro vai me tentar’, disse ela na época.",E
9,"Treinador e dirigente unidos pelo grotesco pacto da masculinidade Cá estamos nós outra vez: Na sequência de uma Copa do Mundo histórica, quando o assunto deveria ser essa imensa conquista para todas as mulheres do mundo, a pauta é o abjeto comportamento de homens em situação de poder. Imagens do presidente da confederação de futebol espanhola, Luis Rubiales, segurando com força o rosto de Jenni Hermoso para dar um beijo não solicitado ou desejado em sua boca, imagens de Jorge Vilda deixando sua mão boba sobre o peito de uma integrante da comissão técnica, imagens do mesmo Rubiales segurando o saco como quem diz ‘vem que tem’ logo depois da conquista, ainda na tribuna de honra e ao lado da Rainha Leticia. Se essas coisas vêm à tona é seguro que há mais nos bastidores que ainda não sabemos. Alguns homens em situação de poder se sentem suficientemente confortáveis para praticar assédios e vulgaridades até em público sabendo que, no máximo, terão que pedir desculpas. Quando muito. Fazem porque sabem que nada acontecerá a não ser o aumento imediato de seu capital erótico. Fazem para poderem se gabar a outros machos quando estiverem sozinhos. Fazem para se exibir a colegas e parceiros. Fazem em nome do erótico que há nesse tecido social que liga um homem a outro. Deveríamos cobrar de Adidas e Ibéria, dois dos maiores patrocinadores e apoiadores da seleção nacional feminina espanhola, um posicionamento. Não virá de outro lugar uma solução para que esses homens percam seus postos de poder. Teria que vir dos financiadores dessa palhaçada. E do MP espanhol. Vem? Não sou otimista. A situação toda é incrivelmente delicada: logo depois de uma conquista, quando o foco deveria ser justamente o feito, eles chamam a atenção para si. Não pega nada. Tá tudo em casa. Elas venceram mesmo assim. Parem de ser chatas.Elas ganharam a despeito de tudo isso. Ganharam mesmo tendo que responder a esses dois homens. Ganharam entubando sabe Deus mais quantos abusos, assédios, vulgaridades e violências. Fica agora bastante nítido o que havia por trás de tantas reclamações das atletas contra Vilda. Nítido também a parceria desses dois homens, que se apoiaram e se protegeram durante toda a polêmica. Protegido por Rubiales, Vilda se sentiu livre para exercer seu domínio. O que mais ainda será revelado? É lamentável ter que ver as cenas repetidamente. Toda mulher volta para a situação de seus abusos e assédios. O que aconteceu em Sidney durante a entrega das medalhas, segundo advogados espanhóis que já se manifestaram sobre o episódio, é um ato constitutivo de delito agravado pelo fato de Hermoso ser trabalhadora subordinada ao homem que cometeu o ato. A Espanha tem se adiantado na legislação contra crimes sexuais e não por acaso é lá que Daniel Alves, acusado de estupro, está preso e será julgado. Consentimento é levado a sério e mais do que ‘não é não’ a lei passa a ser orientada por ‘só sim é sim’. As imagens do assédio cometido contra Hermoso são de uma violência inédita. No auge do que deveria ser uma celebração de todas as mulheres, um ato de abuso é cometido pelo chefe aos olhos do planeta inteiro. Consciente ou não, Rubiales estava, com seu gesto tosco e criminoso, dizendo ao mundo que o protagonismo não pode ser nosso, que quem manda são eles, que nada está realmente se transformando, que voltemos a nossos lugares de coadjuvantes. Que Vilda e Rubiales paguem com o que importa: a perda do poder, essa força que pulsa direto para seus pênis flácidos e faz com que homens como eles vivam de ereções imaginárias e de gozos vazios, solitários, deprimentes e vulgares. Atores pornográficos de filmes horríveis encenados dentro de seus castelos decadentes feitos de ruína moral e assistidos apenas por uma audiência de homens igualmente gosmentos que aplaudem automaticamente a mínima ereção do colega ao lado com a efusividade dos zumbis sociais que são, e sob o olhar debochado dos vivos. Vermes pálidos que rastejam sem rumo por um mundo no qual não valem mais nada, já não são mais cortejados, já não conseguem ser vistos a não ser por seus esqueletos apodrecidos enterrados sob as ocas estátuas daquilo que ainda acham que são.",E
10,"Sheetara anuncia falha em teste antidoping, mas alega inocência: ‘Medicação prescrita’ Uma bomba abalou os fãs de MMA na noite desta segunda-feira (21). Através de suas redes sociais (veja abaixo ou clique aqui), Mayra Sheetara anunciou que falhou em um teste antidoping. A brasileira revelou que a testagem foi aplicada pela USADA na semana de sua última luta, contra Holly Holm, em julho de 2023. Apesar de admitir que a substância proibida pela entidade de fato estava em seu organismo, a peso-galo (61 kg) brasileira alegou inocência no caso. De acordo com a atleta da 'American Top Team', a substância detectada no teste seria fruto de uma medicação prescrita que Mayra recebe para tratar seu 'TDAH' - um transtorno neurobiológico que tem como sintomas a falta de atenção, impulsividade e inquietação nas pessoas acometidas. Ainda segundo Sheetara, todos os documentos e esclarecimentos necessários sobre o caso estão sendo repassados para o UFC, USADA e Comissão Atlética de Nevada. Possíveis consequências para a brasileira A notícia pode representar um verdadeiro baque na carreira de Sheetara. Caso não consiga provar sua versão, a brasileira pode pegar uma suspensão que pode variar entre seis meses e dois anos. Além disso, a atual número 3 do ranking dos galos pode ter sua vitória sobre Holly Holm revertida para um 'no contest' (luta sem resultado). No entanto, ainda não há - ao menos até o momento - nenhum indício de como o Ultimate e a USADA agirão no processo. Confira o relato de Sheetara na íntegra: ‘Para todos meus fãs. É com profundo pesar que tenho que anunciar que falhei em um teste de doping que fiz na semana da minha luta contra Holly Holm. Quero começar dizendo que nunca na minha vida tomei uma substância para melhorar minha capacidade dentro ou fora do cage. Testei positivo para uma substância que é consistente com a medicação prescrita que tomo para o meu TDAH. Tenho lidado com esse transtorno toda a minha vida e isso me afeta de várias maneiras. Forneci uma infinidade de documentos e explicações à USADA e à Comissão Estadual de Nevada detalhando o transtorno, os efeitos do transtorno na minha vida diária e minha tomada de decisão na ingestão do medicamento prescrito. Estou cooperando plenamente com a USADA, a Comissão Atlética do Estado de Nevada e o UFC para garantir que todas as informações estejam disponíveis e reconheço plenamente a presença da substância no meu sistema. Eu descontinuei este medicamento no início da semana de luta, como sempre fiz no passado. A quantidade que apareceu no teste comprova que eu não fiz o uso do medicamento na competição. Por favor, antes de fazer qualquer julgamento, entenda que tenho lidado com isso toda a minha vida e estou arrasada que isso tenha acontecido na minha carreira. Estou ansiosa para chegar a uma resolução e deixar isso para trás. Estou ansiosa para lutar novamente pela melhor organização do mundo. Eu sou a próxima campeã e estou pronta para lutar!’, detalhou Mayra.",E
